latitude,longitude,altitude,timestamp
30.519327,104.018826,2.97,27178.33
30.519327,104.018827,2.99,27178.70
30.519327,104.018830,2.98,27179.08
30.519327,104.018836,2.97,27179.44
30.519328,104.018845,2.98,27179.81
30.519328,104.018853,3.01,27180.19
30.519328,104.018859,3.02,27180.56
30.519328,104.018864,2.98,27180.94
30.519328,104.018866,2.95,27181.31
30.519330,104.018866,2.93,27181.70
30.519331,104.018865,2.95,27182.06
30.519333,104.018864,2.96,27182.44
30.519334,104.018863,2.99,27182.81
30.519336,104.018863,3.02,27183.19
30.519338,104.018862,3.03,27183.56
30.519339,104.018861,3.04,27183.94
30.519341,104.018860,3.05,27184.31
30.519342,104.018860,3.03,27184.67
30.519344,104.018859,3.00,27185.05
30.519346,104.018859,2.98,27185.42
30.519348,104.018858,2.99,27185.80
30.519349,104.018857,3.00,27186.17
30.519351,104.018856,3.03,27186.55
30.519352,104.018855,3.03,27186.92
30.519353,104.018854,3.01,27187.30
30.519354,104.018852,2.99,27187.69
30.519355,104.018851,2.98,27188.05
30.519356,104.018850,2.95,27188.42
30.519357,104.018848,2.94,27188.78
30.519358,104.018847,2.96,27189.17
30.519359,104.018845,2.94,27189.55
30.519360,104.018843,2.94,27189.92
30.519361,104.018842,2.94,27190.28
30.519362,104.018840,2.95,27190.66
30.519363,104.018839,2.95,27191.03
30.519363,104.018837,2.97,27191.41
30.519364,104.018834,2.97,27191.78
30.519364,104.018833,2.95,27192.16
30.519364,104.018830,2.97,27192.53
30.519364,104.018828,3.01,27192.91
30.519365,104.018827,3.03,27193.28
30.519365,104.018825,3.00,27193.66
30.519366,104.018823,3.01,27194.03
30.519366,104.018822,2.99,27194.39
30.519365,104.018820,2.99,27194.76
30.519365,104.018817,2.99,27195.14
30.519364,104.018815,3.01,27195.51
30.519364,104.018813,3.03,27195.89
30.519363,104.018811,3.04,27196.28
30.519363,104.018809,3.05,27196.64
30.519362,104.018807,3.02,27197.01
30.519361,104.018806,3.01,27197.39
30.519360,104.018805,3.02,27197.75
30.519359,104.018804,3.05,27198.14
30.519358,104.018802,3.07,27198.50
30.519357,104.018800,3.04,27198.89
30.519357,104.018799,3.01,27199.25
30.519356,104.018797,3.01,27199.62
30.519355,104.018795,3.00,27200.00
30.519354,104.018794,2.98,27200.38
30.519352,104.018793,2.98,27200.76
30.519351,104.018791,3.00,27201.12
30.519349,104.018790,2.99,27201.50
30.519348,104.018789,3.02,27201.88
30.519347,104.018787,3.04,27202.25
30.519346,104.018786,3.02,27202.62
30.519344,104.018785,2.99,27202.98
30.519343,104.018785,2.97,27203.36
30.519341,104.018784,2.97,27203.75
30.519340,104.018783,3.00,27204.11
30.519338,104.018783,3.01,27204.48
30.519337,104.018782,3.00,27204.86
30.519335,104.018782,2.97,27205.23
30.519333,104.018781,2.94,27205.61
30.519331,104.018781,2.93,27205.97
30.519330,104.018781,2.95,27206.36
30.519328,104.018781,2.96,27206.73
30.519326,104.018781,2.96,27207.09
30.519325,104.018780,2.96,27207.47
30.519323,104.018780,2.98,27207.89
30.519321,104.018780,2.99,27208.22
30.519320,104.018781,2.99,27208.59
30.519318,104.018782,3.00,27208.97
30.519317,104.018782,3.00,27209.36
30.519315,104.018783,3.02,27209.72
30.519314,104.018784,3.04,27210.09
30.519312,104.018785,3.06,27210.47
30.519310,104.018785,3.05,27210.84
30.519309,104.018786,3.05,27211.22
30.519307,104.018787,3.01,27211.59
30.519306,104.018788,3.01,27211.95
30.519304,104.018789,3.02,27212.34
30.519303,104.018790,3.02,27212.70
30.519301,104.018791,3.00,27213.09
30.519300,104.018792,2.99,27213.45
30.519299,104.018794,3.00,27213.83
30.519298,104.018795,3.00,27214.20
30.519297,104.018797,2.99,27214.59
30.519296,104.018798,2.97,27214.95
30.519295,104.018800,2.99,27215.33
30.519294,104.018802,2.99,27215.70
30.519293,104.018803,3.00,27216.06
30.519292,104.018805,3.01,27216.45
30.519291,104.018806,3.00,27216.81
30.519291,104.018808,3.01,27217.19
30.519290,104.018810,3.01,27217.56
30.519290,104.018812,3.00,27217.94
30.519289,104.018814,3.00,27218.33
30.519289,104.018816,2.99,27218.69
30.519288,104.018817,2.99,27219.06
30.519288,104.018819,2.99,27219.44
30.519288,104.018821,3.01,27219.81
30.519288,104.018823,3.02,27220.19
30.519288,104.018825,3.00,27220.55
30.519288,104.018827,2.98,27220.94
30.519288,104.018829,2.97,27221.31
30.519288,104.018831,2.96,27221.69
30.519288,104.018833,2.97,27222.05
30.519288,104.018835,3.01,27222.42
30.519288,104.018837,3.03,27222.80
30.519289,104.018839,3.02,27223.17
30.519290,104.018840,3.00,27223.55
30.519290,104.018842,2.96,27223.92
30.519291,104.018843,2.94,27224.30
30.519292,104.018845,2.96,27224.70
30.519292,104.018847,3.01,27225.05
30.519293,104.018849,3.01,27225.42
30.519294,104.018850,2.98,27225.78
30.519295,104.018852,2.99,27226.17
30.519296,104.018853,3.01,27226.53
30.519297,104.018855,3.02,27226.91
30.519298,104.018856,3.00,27227.28
30.519300,104.018858,3.00,27227.66
30.519301,104.018860,3.02,27228.03
30.519302,104.018861,3.01,27228.41
30.519304,104.018863,2.98,27228.80
30.519305,104.018864,2.96,27229.23
30.519306,104.018864,2.97,27229.51
30.519308,104.018865,3.01,27229.91
30.519309,104.018866,3.03,27230.26
30.519311,104.018867,3.02,27230.64
30.519312,104.018867,3.03,27231.01
30.519313,104.018868,3.06,27231.39
30.519314,104.018867,3.04,27231.76
30.519315,104.018865,3.03,27232.14
30.519315,104.018863,3.03,27232.51
30.519315,104.018861,3.01,27232.89
30.519316,104.018859,3.00,27233.26
30.519317,104.018857,2.99,27233.64
30.519317,104.018856,2.98,27234.01
30.519318,104.018853,2.96,27234.39
30.519319,104.018851,2.98,27234.76
30.519319,104.018850,3.02,27235.12
30.519320,104.018848,3.03,27235.50
30.519321,104.018846,3.01,27235.89
